SN,gender,age,edu,nos,years,VAR00003,position,eng1,eng2,eng3,eng4,eng5,eng6,eng7,eng8,eng9,os1,os2,os3,os4,os5,os6,os7,os8,os9,tdo1,tdo2,tdo3,tdo4,tdo5,tdo6,tdo7,tdo8,tdo9,tdo10,tdo11,tdo12,tdo13,tdo14,tdo15,tdo16,tdo17,tdo18,tdo19,tdo20,tdo21,tdo22,bot1,bot2,bot3,bot4,bot5,bot6,bot7,bot8,bot9,bot10,ocb1,ocb2,ocb3,ocb4,ocb5,ocb6,ocb7,ocb8,ocb9,ocb10,ocb11,ocb12,ocb13,ocb14,ocb15,ocb16,ocb17,ocb18,ocb19,ocb20,fcms1,fcms2,fcms3,fcms4,fcms5,fcms6,Engmt,Orgs,Orgstd,opscg,suptss,suptmg,jrcbt,pbot,cms,fcmst,tdop,bot,alt,spst,cout,cvcv,cons,OCB,nedu,nage,ninvl,nyrs
31,1,3,5,4,4,1,officer,6,6,7,6,5,7,7,5,4,6,5,6,6,6,6,5,7,6,5,6,4,3,2,2,5,6,6,6,6,4,6,6,6,6,6,5,5,6,6,5,5,5,3,5,5,4,4,4,4,4,6,5,6,6,6,6,6,6,6,6,3,6,6,6,5,5,6,6,6,6,4,4,3,3,4,5,53,53,10,7,29,45,22,12,9,19,91,43,11,30,18,13,24,96,2,1,1,2
32,2,6,5,22,2,4,manager,7,7,7,7,7,6,6,6,2,7,6,6,6,6,2,6,6,4,6,6,4,4,2,3,5,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,4,5,3,3,4,4,4,4,4,4,5,5,7,7,7,7,6,4,7,4,6,5,5,5,6,6,6,6,6,6,5,5,5,5,5,5,55,49,10,9,29,48,20,12,7,25,96,39,10,35,15,18,24,102,2,3,4,2
33,2,5,5,6,6,1,officer,5,5,5,4,4,6,6,6,6,4,4,5,5,5,5,5,6,5,4,5,2,2,5,5,5,5,6,6,5,5,4,6,6,6,6,6,5,5,5,5,4,4,4,4,4,4,4,4,4,4,6,6,6,6,6,6,6,6,6,6,3,3,3,3,5,5,5,5,5,5,4,4,4,3,4,3,47,44,7,12,27,43,20,12,8,18,89,40,12,30,9,13,20,84,2,3,2,3
34,1,3,5,7,3,4,manager,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,4,54,45,8,15,25,40,20,12,8,20,88,40,12,30,18,18,24,102,2,1,2,2
35,2,3,5,3,3,1,officer,5,5,6,5,5,5,6,5,5,5,5,5,5,5,5,4,4,5,5,5,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,6,6,6,6,6,6,6,6,6,6,5,4,4,4,5,5,6,5,5,5,4,4,4,4,4,4,47,43,8,11,25,40,20,12,8,20,84,40,12,30,12,15,21,90,2,1,1,2
36,1,4,4,7,5,1,officer,7,7,7,6,6,6,5,5,5,5,5,6,6,6,7,5,5,5,4,5,6,5,5,5,5,5,5,6,4,6,5,5,5,5,5,5,5,5,5,6,4,4,4,4,4,4,4,4,4,4,6,6,5,5,5,5,5,5,5,6,6,6,6,6,7,7,7,7,7,7,4,4,4,4,4,4,54,50,11,15,27,40,20,12,8,20,93,40,12,25,18,20,28,103,1,2,2,2
37,2,4,4,10,9,4,manager,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,4,54,45,10,15,24,39,20,12,8,20,88,40,12,30,18,18,24,102,1,2,2,3
38,1,5,5,7,2,4,branch manager,6,3,7,6,5,7,7,6,6,7,6,7,6,6,6,6,6,5,6,7,6,1,1,1,6,6,6,6,7,6,6,6,6,7,6,6,6,6,6,6,5,5,4,5,5,4,4,5,5,5,7,7,6,6,6,6,7,7,6,6,6,6,6,6,7,7,7,7,7,7,5,4,5,5,5,5,53,55,13,3,30,50,23,14,10,24,96,47,14,30,18,20,28,110,2,3,2,2
39,2,5,4,13,9,1,executive,6,7,6,6,6,5,5,5,6,5,5,6,5,5,5,5,6,6,6,5,5,5,6,6,4,5,5,5,5,5,6,6,6,5,5,5,6,6,6,6,4,4,5,4,4,5,4,4,4,4,6,6,7,7,7,7,6,6,7,7,7,6,6,6,6,6,6,6,6,6,4,4,4,4,4,4,52,48,10,17,28,43,21,13,8,20,98,42,12,35,18,19,24,108,1,3,3,3
40,1,4,5,6,3,4,branch manager,6,7,6,2,6,7,5,2,6,6,6,2,6,6,6,7,5,5,6,3,1,1,6,7,6,5,5,6,6,5,5,4,7,6,6,4,6,5,6,4,1,1,5,4,3,3,4,4,5,7,1,1,7,7,7,7,6,6,7,1,7,7,7,7,7,7,6,6,6,6,4,4,4,3,5,5,47,49,4,14,25,46,15,11,11,20,89,37,2,35,21,21,24,103,2,2,2,2
