SN,gender,age,edu,nos,years,VAR00003,position,eng1,eng2,eng3,eng4,eng5,eng6,eng7,eng8,eng9,os1,os2,os3,os4,os5,os6,os7,os8,os9,tdo1,tdo2,tdo3,tdo4,tdo5,tdo6,tdo7,tdo8,tdo9,tdo10,tdo11,tdo12,tdo13,tdo14,tdo15,tdo16,tdo17,tdo18,tdo19,tdo20,tdo21,tdo22,bot1,bot2,bot3,bot4,bot5,bot6,bot7,bot8,bot9,bot10,ocb1,ocb2,ocb3,ocb4,ocb5,ocb6,ocb7,ocb8,ocb9,ocb10,ocb11,ocb12,ocb13,ocb14,ocb15,ocb16,ocb17,ocb18,ocb19,ocb20,fcms1,fcms2,fcms3,fcms4,fcms5,fcms6,Engmt,Orgs,Orgstd,opscg,suptss,suptmg,jrcbt,pbot,cms,fcmst,tdop,bot,alt,spst,cout,cvcv,cons,OCB,nedu,nage,ninvl,nyrs
124,1,4,5,2,2,2,assistant manager,5,4,5,6,7,7,7,7,6,7,6,5,4,5,4,4,4,4,2,2,2,2,2,5,6,4,5,5,5,5,5,6,6,5,4,4,5,5,5,5,4,4,4,4,4,4,4,4,4,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,2,4,3,4,4,54,43,4,9,25,40,20,12,11,15,78,43,14,30,18,18,24,104,2,2,1,2
125,2,4,5,2,2,2,assistant,4,5,7,5,4,5,7,5,4,6,5,6,6,6,6,5,4,5,5,5,4,2,5,5,5,6,6,6,5,6,5,4,5,6,6,6,6,5,6,6,4,3,3,5,5,4,4,4,4,5,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,5,5,4,3,3,5,46,49,9,12,27,46,21,10,10,22,94,41,12,30,21,21,28,112,2,2,1,2
126,2,3,5,2,2,2,senior assistant,5,5,7,6,5,5,5,5,6,5,4,5,5,4,4,5,5,4,4,5,4,5,3,4,3,4,4,4,5,5,3,4,4,5,5,6,6,4,4,5,4,3,2,4,4,3,4,3,3,4,6,6,5,5,5,5,6,6,5,5,6,6,6,6,6,6,6,6,6,6,3,3,4,3,4,3,49,41,9,12,21,37,18,8,8,16,79,34,12,25,18,18,24,97,2,1,1,2
127,2,3,5,1,1,2,assistant manager,6,7,7,6,7,7,7,5,4,6,5,6,5,3,5,6,6,3,6,3,3,2,5,2,6,4,6,6,6,6,6,6,5,6,6,3,5,7,4,4,5,3,3,5,4,4,3,4,5,5,7,7,6,6,6,6,7,7,6,7,3,7,7,7,3,3,6,6,6,6,2,4,2,4,4,4,56,45,6,9,28,42,20,11,10,16,85,41,14,30,21,9,24,98,2,1,1,1
128,1,3,5,3,3,2,assistant,6,6,5,6,3,4,4,4,3,3,1,3,4,3,3,2,4,3,5,3,2,2,3,2,5,5,4,5,3,5,5,5,5,6,6,6,6,6,5,6,4,5,5,5,4,5,5,5,5,5,6,6,5,5,5,5,5,5,5,5,6,6,6,6,3,3,6,6,6,6,2,2,2,2,2,5,41,26,5,7,27,39,23,15,10,13,78,48,12,25,18,12,24,91,2,1,1,2
129,2,4,5,10,2,4,deputy manager,4,4,6,5,4,6,6,6,6,4,4,3,3,3,4,5,5,2,6,5,2,1,2,2,6,5,5,5,5,3,5,5,6,6,6,6,5,5,4,5,5,4,3,5,4,4,4,4,4,4,7,7,6,6,6,6,7,7,6,5,7,6,6,6,5,5,5,5,5,5,4,2,4,2,4,4,47,33,7,5,26,39,21,11,9,16,77,41,14,30,18,17,20,99,2,2,2,2
130,2,3,5,10,2,4,manager,4,5,7,7,4,6,7,7,4,6,6,6,6,5,4,5,5,6,2,2,4,3,2,6,6,4,4,5,4,6,6,4,4,6,5,4,4,5,4,5,5,3,3,5,4,4,4,4,5,5,7,7,7,7,7,7,7,7,7,7,6,6,6,6,5,5,7,7,7,7,4,2,4,3,4,3,51,49,6,11,25,36,21,11,10,16,78,42,14,35,18,16,28,111,2,1,2,2
131,1,6,5,22,10,4,manager,6,7,7,6,6,7,7,6,6,6,6,6,7,7,6,6,6,6,4,5,5,2,3,2,3,5,6,6,5,4,5,5,6,6,6,6,5,6,6,6,4,5,3,4,3,5,4,4,4,4,7,7,6,6,6,6,7,7,6,6,5,7,7,7,6,6,7,7,7,7,4,4,5,4,4,4,58,56,10,7,28,43,20,12,8,21,88,40,14,30,21,17,28,110,2,3,4,3
132,1,6,5,13,13,5,CEO,5,6,7,6,6,6,7,6,4,6,6,6,5,5,5,6,5,4,6,6,4,5,5,6,6,5,6,5,5,5,5,5,4,5,4,4,4,5,4,4,4,1,1,4,3,3,3,3,4,3,5,5,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,3,3,3,2,2,3,53,48,10,16,23,38,16,6,7,14,87,29,10,30,18,20,28,106,2,3,3,3
133,1,6,4,8,2,4,manager,5,5,6,5,5,6,6,5,4,5,4,4,4,4,4,5,5,4,4,6,4,5,6,6,5,4,3,2,4,2,4,3,5,3,3,5,4,6,2,4,4,3,2,2,3,3,3,2,3,3,6,6,5,5,5,5,6,6,5,6,4,6,6,6,6,6,7,7,7,7,4,3,3,3,3,3,47,39,10,17,16,27,15,8,5,16,70,28,12,25,18,16,28,99,1,3,2,2
134,1,3,5,6,6,3,credit officer,5,6,7,7,5,7,6,5,6,6,5,6,6,7,6,5,7,3,5,3,1,2,1,2,6,5,5,6,6,4,4,7,6,3,5,6,6,7,4,6,4,2,2,4,5,4,5,4,4,5,6,6,2,2,2,2,7,7,2,6,6,7,7,7,6,6,7,7,7,7,2,2,4,3,5,5,54,51,4,5,28,39,22,8,9,16,76,39,12,10,21,18,28,89,2,1,2,3
135,2,4,5,9,1,4,deputy manager,4,6,5,6,6,4,6,6,3,2,3,5,3,4,5,4,5,5,3,3,1,2,2,2,6,5,5,5,4,4,4,4,2,5,2,1,3,6,1,1,5,1,3,2,3,3,3,3,3,3,7,7,2,2,2,2,1,1,2,2,2,1,1,1,3,3,3,3,3,3,2,1,1,1,4,3,46,36,4,6,16,29,17,7,5,8,55,29,14,10,3,8,12,47,2,2,2,1
136,2,3,5,1,1,2,assistant manager,4,5,5,5,5,7,6,6,4,6,6,6,5,5,5,5,6,5,5,6,4,3,3,3,5,5,6,6,6,6,6,5,6,6,6,6,5,5,5,5,4,4,3,4,4,4,4,4,3,3,6,6,5,5,5,5,7,7,5,6,5,6,6,6,6,6,6,6,6,6,4,3,4,4,4,4,47,49,10,9,28,45,20,10,7,19,92,37,12,25,18,17,24,96,2,1,1,1
137,1,5,4,10,1,2,assistant manager,6,6,7,7,7,7,6,6,6,6,6,5,5,4,3,4,4,5,6,6,2,2,2,4,7,5,5,5,5,4,5,6,6,4,5,6,4,6,4,4,4,4,3,3,4,4,4,3,3,4,7,7,1,1,1,1,7,7,1,7,7,7,7,7,7,7,6,6,6,6,3,3,4,2,3,5,58,42,8,8,25,37,19,10,7,17,78,36,14,5,21,21,24,85,1,3,2,1
138,1,4,5,5,3,2,senior assistant,6,7,6,5,4,6,5,6,3,6,5,4,5,3,4,3,4,2,2,4,2,2,2,2,5,6,6,4,4,6,4,4,3,5,4,6,4,5,4,5,4,5,3,5,3,4,5,4,5,3,4,4,5,5,5,5,6,6,5,6,5,6,6,6,7,7,5,5,5,5,5,4,4,4,3,5,48,36,6,6,21,38,20,13,8,22,71,41,8,25,18,19,20,90,2,2,1,2
139,1,5,5,10,2,4,branch manager,6,6,7,5,4,7,5,7,5,5,6,6,6,7,6,6,7,7,4,2,2,2,7,6,7,4,5,5,7,6,6,6,6,6,5,4,4,5,5,5,2,5,5,1,1,4,4,3,7,4,1,5,7,7,7,7,6,6,7,7,1,6,6,6,1,1,5,5,5,5,3,5,4,4,4,4,52,56,4,15,27,43,14,17,5,20,89,36,6,35,18,3,20,82,2,3,2,2
140,1,4,5,7,6,4,manager,3,4,7,7,5,6,7,7,6,3,5,5,3,4,5,3,5,3,5,4,2,4,5,1,5,3,3,3,3,6,5,4,3,5,4,3,5,4,4,3,4,2,2,4,3,3,3,3,4,3,7,7,5,5,5,5,6,6,5,7,4,7,7,7,7,7,7,7,7,7,3,2,4,1,4,3,52,36,6,10,19,32,16,8,7,13,67,31,14,25,21,18,28,106,2,2,2,3
141,1,3,3,2,2,4,manager,2,4,4,4,4,4,4,4,3,5,3,4,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4,4,4,3,3,3,3,3,3,33,30,8,12,20,32,15,9,6,15,72,30,8,20,9,12,16,65,1,1,1,2
142,2,4,5,8,1,6,supervisor,5,6,6,5,6,7,7,7,3,5,5,6,6,6,6,6,6,6,6,6,7,2,1,1,1,7,6,7,5,7,7,6,4,6,7,7,4,6,6,6,5,3,1,5,1,4,4,5,4,5,7,7,6,6,6,6,7,7,6,7,7,7,7,7,6,6,7,7,7,7,4,3,4,1,4,4,52,52,13,4,33,45,19,8,10,16,95,37,14,30,21,19,28,112,2,2,2,1
143,2,2,3,2,2,2,assistant,4,4,5,5,5,4,4,5,4,5,5,5,5,5,5,4,4,3,2,5,2,2,2,4,3,4,5,5,5,4,7,5,5,5,4,4,5,6,4,3,4,4,2,4,4,3,4,4,4,3,6,6,5,5,5,5,7,7,5,5,5,7,7,7,4,4,5,5,5,5,3,3,2,2,3,3,40,41,7,8,24,37,19,10,7,13,76,36,12,25,21,13,20,91,1,1,1,2
144,1,4,5,4,1,2,assistant,4,4,5,4,4,5,5,5,4,5,4,4,5,4,3,4,4,4,4,4,3,2,2,2,4,4,4,4,4,4,5,5,4,4,4,5,4,4,4,4,3,4,4,3,3,3,3,3,3,3,5,5,6,6,6,6,3,3,6,5,5,4,4,4,4,4,5,5,5,5,2,2,2,2,3,3,40,37,7,6,22,32,15,11,6,11,67,32,10,30,12,13,20,85,2,2,1,1
145,1,4,5,4,1,2,assistant,4,4,5,4,4,5,5,5,4,5,4,4,5,4,3,4,4,4,4,4,3,2,2,2,4,4,4,4,4,4,5,5,4,4,4,5,4,4,4,4,3,4,4,3,3,3,3,3,3,3,5,5,6,6,6,6,3,3,6,5,5,4,4,4,4,4,5,5,5,5,2,2,2,2,3,3,40,37,7,6,22,32,15,11,6,11,67,32,10,30,12,13,20,85,2,2,1,1
146,2,5,9,2,1,6,supervisor,5,6,6,6,6,7,6,7,3,5,5,6,5,6,5,6,5,5,6,7,2,1,1,1,6,6,7,5,6,6,6,4,6,7,7,4,6,5,6,4,5,3,1,5,5,5,5,5,4,5,7,7,6,6,6,6,7,7,6,7,7,7,7,7,7,7,4,4,4,4,4,3,4,1,4,4,52,48,9,3,26,50,25,8,10,16,88,43,14,30,21,21,16,102,2,3,1,1
147,1,6,5,25,15,7,GM,6,7,6,7,7,7,7,7,6,6,7,7,7,7,7,7,7,6,6,6,6,5,5,5,7,7,6,7,6,6,6,6,6,5,6,6,6,6,6,5,4,4,4,5,5,5,5,4,5,5,7,7,7,7,7,7,7,7,7,1,7,7,7,7,7,7,7,7,7,7,5,5,5,5,5,5,60,61,12,15,30,48,23,13,10,25,105,46,14,35,21,21,28,119,2,3,4,3
148,1,3,5,4,4,1,officer,6,6,7,6,5,7,7,5,4,6,5,6,6,6,6,5,7,6,5,6,4,3,2,2,5,6,6,6,6,4,6,6,6,6,6,5,5,6,6,5,5,5,3,5,5,4,4,4,4,4,6,6,6,6,6,6,6,6,6,6,3,6,6,6,5,5,6,6,6,6,4,4,3,3,4,5,53,53,10,7,29,45,22,12,9,19,91,43,12,30,18,13,24,97,2,1,1,2
149,2,6,5,22,2,4,manager,7,7,7,7,7,6,6,6,2,7,6,6,6,6,2,6,6,4,6,6,4,4,2,3,5,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,4,5,3,3,4,4,4,4,4,4,5,5,7,7,7,7,4,4,7,4,6,5,5,5,6,6,6,6,6,6,5,5,5,5,5,5,55,49,10,9,29,48,20,12,7,25,96,39,10,35,15,18,24,102,2,3,4,2
150,2,5,5,6,6,1,officer,5,5,5,4,4,6,6,6,6,4,4,5,5,5,5,5,6,5,4,5,2,2,5,5,5,5,6,6,5,5,4,6,6,6,6,6,5,5,5,5,4,4,4,4,4,4,4,4,4,4,6,6,6,6,6,6,6,6,6,6,3,3,3,3,5,5,5,5,5,5,4,4,4,3,4,3,47,44,7,12,27,43,20,12,8,18,89,40,12,30,9,13,20,84,2,3,2,3
151,1,3,5,7,3,3,manager,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,4,54,45,8,15,25,40,20,12,8,20,88,40,12,30,18,18,24,102,2,1,2,2
152,2,3,5,3,3,1,officer,5,5,6,5,5,5,6,5,5,5,5,5,5,5,5,4,4,5,5,5,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,6,6,6,6,6,6,6,6,6,6,5,4,4,4,5,5,5,5,5,5,4,4,4,4,4,4,47,43,8,11,25,40,20,12,8,20,84,40,12,30,12,15,20,89,2,1,1,2
153,1,4,4,7,5,1,officer,7,7,7,6,6,6,5,5,5,5,5,6,6,6,7,5,5,5,4,5,6,5,5,5,5,5,5,6,4,6,5,5,5,5,5,5,5,5,5,6,4,4,4,4,4,4,4,4,4,4,6,6,5,5,5,5,5,5,5,6,6,6,6,6,7,7,7,7,7,7,4,4,4,4,4,4,54,50,11,15,27,40,20,12,8,20,93,40,12,25,18,20,28,103,1,2,2,2
154,2,4,4,10,9,4,manager,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,4,54,45,10,15,24,39,20,12,8,20,88,40,12,30,18,18,24,102,1,2,2,3
155,1,5,5,7,2,4,branch manager,6,3,7,6,5,7,7,6,6,7,6,7,6,6,6,6,6,5,6,7,6,1,1,1,6,6,6,6,7,6,6,6,6,7,6,6,6,6,6,6,5,5,4,5,5,4,4,5,5,5,7,7,6,6,6,6,7,7,6,6,6,6,6,6,7,7,7,7,7,7,5,4,5,5,5,5,53,55,13,3,30,50,23,14,10,24,96,47,14,30,18,20,28,110,2,3,2,2
156,2,5,4,13,9,4,executive,6,7,6,6,6,5,5,5,6,5,5,6,5,5,5,5,6,6,6,5,5,5,6,6,4,5,5,5,5,5,6,6,6,5,5,5,6,6,6,6,4,4,5,4,4,5,4,4,4,4,6,6,7,7,7,7,6,6,7,7,7,6,6,6,6,6,6,6,6,6,4,4,4,4,4,4,52,48,10,17,28,43,21,13,8,20,98,42,12,35,18,19,24,108,1,3,3,3
157,1,4,5,6,3,4,branch manager,6,7,6,2,6,7,5,2,6,6,6,2,6,6,6,7,5,5,6,3,1,1,6,7,6,5,5,6,6,5,5,4,7,6,6,4,6,5,6,4,1,1,5,4,3,3,4,4,5,7,1,1,7,7,7,7,6,6,7,1,7,7,7,7,7,7,6,6,6,6,4,4,4,3,5,5,47,49,4,14,25,46,15,11,11,20,89,37,2,35,21,21,24,103,2,2,2,2
158,1,5,5,6,3,1,officer,5,6,5,6,4,3,5,4,4,5,4,7,5,5,5,5,5,3,3,5,4,3,4,3,5,5,5,5,5,5,4,3,5,5,5,3,5,5,3,5,4,4,4,5,5,4,4,4,4,5,7,7,6,6,6,6,6,6,6,6,7,7,7,7,7,7,6,6,6,6,4,3,5,4,4,4,42,44,9,10,22,38,21,12,10,20,79,43,14,30,21,21,24,110,2,3,2,2
159,1,3,4,2,1,1,officer,5,6,6,5,7,6,5,5,6,5,4,5,5,4,5,3,4,3,5,6,6,5,3,5,6,5,6,5,4,2,5,6,5,5,4,5,5,4,5,6,4,4,3,5,3,2,4,5,5,5,7,7,5,5,5,5,6,6,5,6,6,7,7,7,7,7,5,5,5,5,4,3,4,1,4,3,51,38,12,13,26,37,18,12,10,15,88,40,14,25,21,20,20,100,1,1,1,1
160,1,4,5,14,12,1,officer,6,5,5,5,5,5,5,5,6,5,6,6,5,6,6,5,5,5,6,6,3,4,5,6,6,5,5,5,6,6,6,6,6,6,5,5,4,4,4,5,4,4,4,4,4,5,6,6,1,1,1,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,4,47,49,9,15,27,42,25,9,5,20,93,39,2,30,18,18,24,92,2,2,3,3
161,1,3,5,4,2,3,assistant officer,6,5,7,7,6,6,7,5,6,3,3,2,2,6,3,2,3,6,3,2,3,5,4,4,5,4,4,5,5,3,4,4,4,4,6,5,5,5,5,4,4,4,4,4,4,4,4,3,4,2,7,7,5,5,5,5,5,5,5,4,3,4,4,4,4,4,6,6,6,6,5,4,4,5,5,5,55,30,5,13,23,34,19,12,6,23,75,37,14,25,12,11,24,86,2,1,1,2
162,1,3,5,4,2,2,operation incharge,4,6,7,5,3,5,7,5,4,6,2,3,5,6,2,1,5,6,6,6,5,1,7,6,5,2,3,5,4,6,3,2,6,5,3,3,6,5,3,2,5,1,1,5,4,4,2,4,3,2,7,7,3,3,3,3,6,6,3,7,7,5,5,5,7,7,1,1,1,1,3,2,4,3,4,2,46,36,11,14,15,35,19,5,7,14,75,31,14,15,15,21,4,69,2,1,1,2
163,1,4,5,6,2,1,junior officer,4,6,7,6,7,6,7,5,2,6,5,4,5,6,5,6,7,5,6,5,4,7,4,5,5,6,5,7,4,6,6,5,6,5,5,4,3,3,4,4,4,4,5,6,7,5,4,5,6,7,4,4,7,7,7,7,6,6,7,6,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,4,50,49,9,16,27,39,25,15,13,20,91,53,8,35,18,18,24,103,2,2,2,2
164,1,6,4,8,4,2,assistant manager,4,5,7,5,7,7,7,6,4,7,4,5,5,5,5,5,6,5,5,5,5,2,2,6,6,5,5,5,5,5,7,6,5,4,5,3,3,7,5,5,4,4,4,4,3,3,3,3,4,5,7,7,5,5,5,5,7,7,5,7,6,7,7,7,7,7,7,7,7,7,4,3,3,3,3,3,52,47,10,10,28,37,16,12,9,16,85,37,14,25,21,20,28,108,1,3,2,2
165,1,4,3,2,1,1,junior officer,4,7,7,7,7,7,7,7,4,1,6,3,4,1,3,1,5,4,3,5,5,2,1,5,5,6,5,3,1,4,5,3,1,4,1,1,4,1,7,1,4,5,1,1,5,5,1,5,5,1,4,4,7,7,7,7,6,6,7,4,7,1,1,1,6,6,7,7,7,7,2,2,3,1,1,1,57,28,10,8,13,32,20,11,2,9,63,33,8,35,3,19,28,93,1,2,1,1
166,1,3,5,2,2,1,junior officer,7,7,4,7,4,6,7,5,5,6,5,7,5,5,4,5,6,4,3,5,4,6,3,7,5,7,6,5,7,3,7,5,6,5,6,6,7,5,4,5,4,3,4,4,3,4,4,5,5,7,3,3,6,6,6,6,7,7,6,6,4,6,6,6,3,3,6,6,6,6,3,4,4,3,4,4,52,47,9,16,28,45,20,12,11,18,98,43,6,30,18,10,24,88,2,1,1,2
167,1,3,5,7,2,1,credit officer,5,5,5,5,5,6,6,6,6,5,5,6,5,5,5,5,4,5,4,4,5,2,2,5,5,5,5,5,5,4,6,6,6,5,5,5,5,5,4,2,4,4,3,4,4,4,4,5,5,5,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2,2,4,4,4,4,49,45,9,9,24,39,21,12,9,16,81,42,12,35,21,21,28,117,2,1,2,2
168,1,4,5,6,6,1,credit officer,6,7,5,6,6,7,6,7,4,6,4,4,3,6,6,6,6,6,5,5,5,2,3,3,6,6,6,6,6,5,5,5,5,6,6,6,5,6,6,5,3,4,3,3,4,4,4,4,4,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,3,4,4,4,4,4,54,47,10,8,27,45,19,11,7,19,90,37,14,35,21,19,24,113,2,2,2,3
169,2,3,5,4,4,2,assistant,7,6,7,6,6,7,7,7,2,6,5,6,5,6,5,4,5,4,5,4,5,6,5,4,4,5,2,4,5,5,5,4,6,5,4,5,5,6,5,4,4,4,3,5,4,5,5,4,4,4,7,7,7,7,7,7,7,7,7,7,5,6,6,6,1,1,1,1,1,1,5,4,4,4,5,5,55,46,9,15,21,38,22,11,9,22,83,42,14,35,18,7,4,78,2,1,1,2
170,2,3,5,4,4,2,assistant,7,6,7,6,6,7,7,7,2,5,4,5,4,5,5,3,5,5,5,5,4,4,5,5,4,4,3,3,5,5,5,3,3,4,4,5,3,5,4,4,5,4,5,4,5,4,5,4,4,4,4,4,7,7,7,7,5,5,7,7,7,7,7,7,7,7,6,6,6,6,3,2,3,4,4,4,55,41,9,14,19,31,23,13,8,16,73,44,8,35,21,21,24,109,2,1,1,2
171,2,2,4,2,2,2,junior assistant,4,5,5,5,7,6,5,5,5,4,5,5,6,6,6,6,5,6,6,5,6,5,2,5,6,4,5,5,6,5,5,4,5,6,5,4,6,4,4,5,5,5,5,5,5,5,5,5,5,5,7,7,6,6,6,6,7,7,6,6,7,7,7,7,6,6,6,6,6,6,3,4,3,5,5,5,47,49,11,12,24,41,25,15,10,20,88,50,14,30,21,19,24,108,1,1,1,2
172,1,6,5,7,5,1,officer,6,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,5,6,7,6,5,4,3,2,1,3,4,5,6,7,5,4,3,2,1,4,1,3,5,3,3,3,3,4,5,3,3,3,6,6,6,6,6,6,6,5,4,3,3,3,3,3,5,5,5,5,1,2,3,4,5,3,16,9,9,19,20,28,14,13,6,13,76,33,6,30,9,10,20,75,2,3,2,2
173,2,5,5,5,2,1,officer,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,5,6,5,5,5,6,6,6,6,6,4,4,4,4,4,4,4,4,4,4,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,4,4,4,4,4,4,45,45,12,18,28,46,20,12,8,20,104,40,12,25,15,15,24,91,2,3,1,2
174,1,3,5,4,2,1,assistant officer,6,5,7,7,6,6,7,5,6,3,3,2,2,6,3,2,3,6,3,2,3,5,4,4,5,4,4,5,5,3,4,4,4,4,6,5,5,5,5,4,4,4,4,4,4,4,4,3,4,2,7,7,5,5,5,5,5,5,5,4,3,4,4,4,4,4,6,6,6,6,5,4,4,5,5,5,55,30,5,13,23,34,19,12,6,23,75,37,14,25,12,11,24,86,2,1,1,2
175,2,3,5,6,1,2,senior assistant,4,5,5,6,5,7,5,5,5,4,5,5,6,6,6,6,5,6,6,5,6,5,5,6,4,5,5,6,6,5,5,5,4,5,5,5,4,6,4,4,5,5,5,5,5,5,5,4,5,5,7,7,7,7,7,7,7,7,7,6,6,7,7,7,6,6,6,6,6,6,1,3,4,3,5,5,47,49,11,16,25,38,24,15,10,16,90,49,14,35,21,18,24,112,2,1,2,1
176,1,4,5,12,9,4,manager,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,4,45,45,10,15,25,40,20,12,8,20,90,40,12,30,18,18,24,102,2,2,3,3
177,1,4,5,10,5,1,officer,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,4,46,45,10,15,25,40,20,12,8,20,90,40,12,30,18,18,24,102,2,2,2,2
178,2,5,5,15,10,1,officer,5,5,5,5,5,5,5,5,5,5,5,5,6,6,5,5,6,6,3,3,2,5,5,5,5,5,5,5,5,5,5,5,4,4,3,3,3,5,5,5,4,4,4,4,4,4,4,4,4,4,6,6,6,6,6,6,6,6,6,6,2,2,2,2,6,6,6,6,6,6,4,4,4,4,3,4,45,49,5,15,23,36,20,12,8,20,79,40,12,30,6,14,24,86,2,3,3,3
179,1,6,3,25,2,4,senior manager,6,6,6,6,5,7,6,7,3,5,7,5,5,6,4,5,5,6,5,6,6,2,3,3,6,6,6,6,7,6,7,5,6,6,6,6,5,5,5,6,4,5,4,6,4,1,7,6,1,6,7,7,7,7,7,7,6,6,7,7,7,6,6,6,7,7,7,7,7,7,5,3,4,4,5,5,52,48,12,8,30,47,22,10,12,21,97,44,14,35,18,21,28,116,1,3,4,2
180,1,3,5,5,2,2,operation incharge,4,4,5,5,4,6,6,6,6,6,6,5,5,5,5,5,5,4,4,5,4,4,4,4,4,4,4,4,5,6,5,5,5,4,4,4,4,5,5,5,4,3,3,4,4,4,4,4,4,4,7,7,7,7,7,7,6,6,7,7,7,7,7,7,7,7,6,6,6,6,4,4,4,4,4,4,46,46,9,12,23,37,20,10,8,20,81,38,14,35,21,21,24,115,2,1,1,2
181,1,4,5,8,3,4,manager,7,5,6,7,6,5,7,5,5,4,7,6,7,5,6,5,5,7,5,6,6,6,7,6,5,7,6,4,3,3,5,4,5,7,5,3,7,4,7,4,4,5,3,3,5,4,4,4,3,5,7,7,4,4,4,4,6,6,4,4,6,5,5,5,4,4,7,7,7,7,3,4,5,2,3,4,53,52,12,19,22,45,21,11,8,18,98,40,14,20,15,14,28,91,2,2,2,2
182,1,6,4,20,4,4,senior manager,3,3,6,7,6,7,7,6,2,6,6,6,6,7,6,7,7,6,5,5,4,2,1,2,6,7,7,6,6,6,6,6,7,6,7,6,7,7,6,7,5,4,3,4,3,3,4,4,3,4,5,5,6,6,6,6,7,7,6,7,6,7,7,7,7,7,7,7,7,7,5,5,5,4,5,5,47,57,9,5,32,52,19,10,8,24,98,37,10,30,21,20,28,109,1,3,4,2
183,1,6,5,15,3,4,planning manager,7,6,7,7,6,6,5,6,5,7,7,6,7,6,4,6,7,6,6,6,7,2,2,2,4,6,6,6,6,6,7,6,6,6,6,5,5,4,5,5,5,5,3,4,4,4,4,5,4,4,6,6,5,5,5,5,7,7,5,6,5,7,7,7,7,7,7,7,7,7,5,5,5,5,5,5,55,56,13,6,30,46,22,12,8,25,95,42,12,25,21,19,28,105,2,3,3,2
184,1,5,5,12,10,1,officer,7,7,7,7,6,6,6,6,6,7,7,7,7,7,6,6,6,7,7,7,7,7,6,6,6,5,6,5,7,5,5,6,7,7,7,7,6,5,6,7,5,5,5,5,4,5,5,5,5,5,7,7,7,7,7,7,7,7,7,7,6,6,6,6,7,7,6,6,6,6,5,5,5,5,5,5,58,60,14,19,30,49,24,15,10,25,112,49,14,35,18,20,24,111,2,3,3,3
185,1,5,5,15,10,4,branch manager,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,7,7,6,7,6,5,6,7,5,7,5,5,5,6,7,7,6,6,5,6,7,7,6,6,6,5,5,5,5,4,4,4,5,5,5,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,4,4,4,63,59,11,18,30,47,22,15,10,23,106,47,14,30,18,18,24,104,2,3,3,3
186,2, ,4,12,7,4,assistant branch manager,6,6,6,6,6,7,7,6,7,7,7,6,6,6,6,7,7,6,7,7,6,6,5,5,4,4,4,5,6,7,7,7,7,6,6,6,6,7,7,7,4,5,5,3,3,3,4,3,5,5,7,7,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,4,4,4,5,5,4,57,58,13,16,32,47,17,15,8,21,108,40,14,30,18,16,20,98,1, ,3,3
